898,2-A (LRC),CAN'T LOCATE
899,3-A (LRC),CAN'T LOCATE
900,5,201C
901,34,103B
902,2716,116B
903,B-1,203A
904,B-2,203A
905,B-3,203A
906,B-4,203A
907,B-5,203A
908,B-15,203A
909,B-16,203A
910,3119,406A
911,2346,104A
911,2346,104B
912,2862,308C
913,2846A,CAN'T LOCATE
914,2846B,CAN'T LOCATE
915,15-A,402C
916,2,CAN'T LOCATE
917,3,CAN'T LOCATE
918,94,119B
919,7,412A
920,166,CAN'T LOCATE
921,2495,301C
922,2367,104A
923,3196,411C
924,2562,302C-4
924,2562,5
924,2562,6
925,2821-D,111A
926,3122,CAN'T LOCATE
927,593-C,NO FIELD NO.
928,458,NO FIELD NO.
929,459,NO FIELD NO.
930,2235,CAN'T LOCATE
931,1-A-1,NO FIELD NO.
932,2692-E,NO FIELD NO.
933,3246,CAN'T LOCATE
934,34 (1346),103B
935,"3011-F, BLK 1",CAN'T LOCATE
936,3011-E,CAN'T LOCATE
937,2233,NO FIELD NO.
938,12 BLK 14,NO FIELD NO.
